"","MovieAge","b_a"
"1",-2,-0.0613176995764955
"2",-1,0.147298084112011
"3",0,0.0748906008318759
"4",1,0.0356437918662151
"5",2,-0.00418415951419169
"6",3,0.00428256499394453
"7",4,-0.0138243147449142
"8",5,-0.0203302823802377
"9",6,-0.0152109523062802
"10",7,-0.0258789733102252
"11",8,-0.0258416320824557
"12",9,-0.0314852048148784
"13",10,-0.0330851931592488
"14",11,-0.0226124359295862
"15",12,-0.0203825538676831
"16",13,-0.0122835843290457
"17",14,-0.00515025830246991
"18",15,-0.00185866005634247
"19",16,0.00218735399224823
"20",17,0.00253204128810375
"21",18,0.0117163668794657
"22",19,0.0114181443975441
"23",20,0.00485563223511868
"24",21,0.00733575193821144
"25",22,0.0105282449622717
"26",23,0.0174504288378803
"27",24,0.00792858609095761
"28",25,0.00176041801780535
"29",26,-0.0105420682860068
"30",27,-0.00247283392739232
"31",28,-8.87454682793188e-05
"32",29,0.00667290218640882
"33",30,-0.00552489636673322
"34",31,-0.00342118376514195
"35",32,0.00296589120799062
"36",33,-0.00738536769901388
"37",34,-0.00409071875579775
"38",35,0.00625565705848789
"39",36,0.00595090389165789
"40",37,0.0170857636091793
"41",38,0.0108403126724808
"42",39,0.0202910161657009
"43",40,0.0149753129749014
"44",41,0.00576192483117251
"45",42,-0.00207874327008934
"46",43,-0.0206662884347801
"47",44,-0.0118468355426419
"48",45,-0.0107625840855314
"49",46,-0.0106424817375394
"50",47,-0.002051318740039
"51",48,0.00678798981681646
"52",49,-0.000161663908733905
"53",50,-0.00225209943917374
"54",51,-0.00579053705899033
"55",52,-0.00574732497120012
"56",53,-0.00197453980540456
"57",54,-0.0168405933887726
"58",55,0.00950143959127232
"59",56,0.0163058173424772
"60",57,0.0115706856027
"61",58,0.0247376551533563
"62",59,0.0406963419163574
"63",60,0.0426964299071521
"64",61,0.0295677414451173
"65",62,0.00474355534391081
"66",63,-0.00922661609756319
"67",64,-0.0529750579184107
"68",65,-0.0521348956591164
"69",66,-0.0600329911474275
"70",67,-0.0674446980409326
"71",68,-0.0429078413749461
"72",69,-0.0327249787833466
"73",70,-0.00242540491242696
"74",71,-0.0172166763949529
"75",72,-0.00182029769256016
"76",73,-0.0103440429564281
"77",74,0.00973821181285089
"78",75,-0.0127356108229031
"79",76,-0.0242390243983857
"80",77,-0.0449664431430255
"81",78,0.00627970136522559
"82",79,-0.0111216047786696
"83",80,0.00668265385153984
"84",81,-0.0138219813945013
"85",82,0.0486131711667969
"86",83,-0.0654597455521653
"87",84,0.0168787237807602
"88",85,0.0267716758377412
"89",86,0.0613462553090882
"90",87,-0.104076536225168
"91",88,0.0449231510969269
"92",89,-0.0585082094302928
"93",90,0.0502295844047126
"94",91,-0.202813119000083
"95",92,0.0679138881731118
"96",93,-0.126216615881495
